id,fecha,tipo,proveedor_cliente,nif,concepto,numero_factura,base_imponible,tipo_iva,cuota_iva,total,deducible,porcentaje_deduccion,cuota_iva_deducible,aeat_articulo,trimestre,estado,origen
87a55ec8-01bc-400a-b872-ea4278fb8072,2025-01-15,gasto,Amazon Web Services EMEA SARL,ESB64772878,Hosting EC2 + S3 — enero 2025,AWS-2025-01-0042,89.99,21,18.9,108.89,True,100,18.9,Art. 28-30 Ley 35/2006 IRPF,2025-Q1,pagado,manual
a230196f-e4bb-4a13-ac7a-3f11f969102a,2025-01-20,gasto,Notion Labs Inc.,,Suscripción Notion Plus — enero 2025,NOTION-2501,14.87,21,3.12,17.99,True,100,3.12,Art. 28-30 Ley 35/2006 IRPF,2025-Q1,pagado,manual
57c3833b-9e98-4ff1-a754-2cd7439282e7,2025-02-05,gasto,Udemy Ireland UC,,Curso Python para análisis de datos,UD-ES-20250205,19.99,21,4.2,24.19,True,100,4.2,Art. 28-30 Ley 35/2006 IRPF,2025-Q1,pagado,manual
5a8246a1-a4fc-4ee2-ad60-610aa64a5eff,2025-02-18,gasto,Renfe Operadora,ESQ2801660H,Billete AVE Madrid-Barcelona (reunión cliente),RNF-250218-0091,45.0,10,4.5,49.5,True,100,4.5,Art. 28-30 Ley 35/2006 IRPF,2025-Q1,pagado,manual
d3a1b7bc-f0e2-4e73-b349-e3e00dc25c4d,2025-03-01,gasto,Regus España SL,ESB82387770,Alquiler sala reuniones coworking — marzo,RGS-MAR25-0034,80.0,21,16.8,96.8,True,100,16.8,Art. 28-30 Ley 35/2006 IRPF,2025-Q1,pagado,manual
b746af26-406b-4cdf-ae8a-4ddaf18bc874,2025-04-10,gasto,Endesa Energía SAU,ESA81948077,Factura luz — abril 2025,END-APR25-7812,62.5,21,13.12,75.62,True,30,3.94,Art. 30 Ley 35/2006 IRPF,2025-Q2,pagado,manual
4b1fc1d0-f362-404f-b46d-d14509a392b2,2025-05-08,gasto,Repsol YPF SA,ESA78052828,Gasolina — visita cliente Valencia,,55.0,21,11.55,66.55,True,50,5.78,Art. 95.Tres Ley 37/1992 LIVA,2025-Q2,pagado,manual
286994ae-f412-4a8d-8418-8fac6de723b4,2025-06-03,gasto,Asesoría Fiscal Martínez SLP,ESB12345678,Honorarios gestoría — presentación Modelo 130 Q1,AFM-2025-042,120.0,21,25.2,145.2,True,100,25.2,Art. 28-30 Ley 35/2006 IRPF,2025-Q2,pagado,manual
970e0bcb-f444-43d5-8f52-4ea4cf7dd1fe,2025-01-28,ingreso,TechStartup SL,ESB98765432,Consultoría estrategia de marketing digital — enero,FAC-2025-001,1500.0,21,315.0,1815.0,False,0,0.0,,2025-Q1,pagado,manual
ad315e18-9b71-47a2-8367-cfb7bc4c737c,2025-02-14,ingreso,Moda Española SL,ESB11223344,Auditoría SEO y plan de contenidos,FAC-2025-002,850.0,21,178.5,1028.5,False,0,0.0,,2025-Q1,pagado,manual
b6d3cdb9-938b-4f23-bf9e-f2781c5bc766,2025-03-20,ingreso,Restaurante El Patio SL,ESB55667788,Gestión redes sociales — marzo 2025,FAC-2025-003,600.0,21,126.0,726.0,False,0,0.0,,2025-Q1,pagado,manual
24d49522-6009-428a-9024-b58202feed1c,2025-04-22,ingreso,TechStartup SL,ESB98765432,Gestión campaña Google Ads — abril 2025,FAC-2025-004,1200.0,21,252.0,1452.0,False,0,0.0,,2025-Q2,pendiente,calendly
b3cc7886-827f-44f8-afc8-650618effcc3,2025-05-10,ingreso,Farmacia Sánchez,ESB33445566,Identidad de marca y guía de estilo,FAC-2025-005,950.0,21,199.5,1149.5,False,0,0.0,,2025-Q2,pendiente,manual
f9813ab7-09c6-4bad-875c-195d29f9b08b,2025-05-28,ingreso,Moda Española SL,ESB11223344,Estrategia email marketing + 4 newsletters,FAC-2025-006,700.0,21,147.0,847.0,False,0,0.0,,2025-Q2,pendiente,manual
86ea9792-410e-41fb-90cd-dca9ce1482a4,2025-04-05,ingreso,Distribuciones López SA,ESA77889900,Dashboard analítica web — Looker Studio,FAC-2025-007,400.0,21,84.0,484.0,False,0,0.0,,2025-Q2,vencido,manual
150af9bf-10bf-4c95-a7fe-18826f68d0e6,2026-01-07,gasto,Amazon Web Services EMEA SARL,ESB64772878,Hosting EC2 + S3 — enero 2026,AWS-2026-01-0011,94.99,21,19.95,114.94,True,100,19.95,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
d7403a0f-57e8-4734-91be-488260aa1736,2026-01-09,gasto,Notion Labs Inc.,,Suscripción Notion Plus — enero 2026,NOTION-2601,14.87,21,3.12,17.99,True,100,3.12,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
fff56054-fd92-4a5f-b748-6ceef7dfba09,2026-01-12,ingreso,TechStartup SL,ESB98765432,Consultoría estrategia de marketing digital — enero 2026,FAC-2026-001,1800.0,21,378.0,2178.0,False,0,0.0,,2026-Q1,pagado,manual
5c62a38a-ae9b-4738-89ad-3204e21ad762,2026-01-15,gasto,Endesa Energía SAU,ESA81948077,Factura luz — enero 2026,END-ENE26-1021,67.4,21,14.15,81.55,True,30,4.25,Art. 30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
842590e6-1042-4b3b-b5c1-165018a1b5c2,2026-01-18,ingreso,Farmacia Sánchez,ESB33445566,Gestión redes sociales — enero 2026,FAC-2026-002,750.0,21,157.5,907.5,False,0,0.0,,2026-Q1,pagado,manual
0db95899-0c3f-4ee4-a881-2fd42ce006bc,2026-01-22,gasto,Telefónica de España SAU,ESA82018474,Factura internet fibra — enero 2026,TEL-2601-7723,44.59,21,9.36,53.95,True,30,2.81,Art. 30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
38a8a5b5-2dd2-479e-a9f8-8b4add253475,2026-01-25,ingreso,Moda Española SL,ESB11223344,Estrategia contenidos Q1 2026 + gestión Instagram,FAC-2026-003,1100.0,21,231.0,1331.0,False,0,0.0,,2026-Q1,pagado,manual
a66f296b-635e-434f-ac3d-e09b36ae557a,2026-01-28,gasto,Udemy Ireland UC,,Curso IA aplicada al marketing — certificación,UD-ES-20260128,34.99,21,7.35,42.34,True,100,7.35,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
c64f45d1-b25d-4b05-9d31-4f6215c55629,2026-02-03,ingreso,Restaurante El Patio SL,ESB55667788,Gestión redes sociales + campañas Meta Ads — feb 2026,FAC-2026-004,950.0,21,199.5,1149.5,False,0,0.0,,2026-Q1,pendiente,calendly
39fbfe60-9ddc-40c1-a86c-97fb2e9b3301,2026-02-05,gasto,Repsol YPF SA,ESA78052828,Gasolina — visita cliente Zaragoza,RPL-260205,58.0,21,12.18,70.18,True,50,6.09,Art. 95.Tres Ley 37/1992 LIVA,2026-Q1,pagado,manual
82cc8072-2940-4613-b644-684124dbbd04,2026-02-07,gasto,Adobe Systems Software Ireland Ltd,ESB84086991,Suscripción Adobe Creative Cloud — febrero 2026,ADO-2602-ES-4421,54.99,21,11.55,66.54,True,100,11.55,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
7f5a8f8e-79a0-4df8-8d55-7966ba03f3f8,2026-02-10,ingreso,Distribuciones López SA,ESA77889900,Informe analítica mensual + optimización SEO,FAC-2026-005,600.0,21,126.0,726.0,False,0,0.0,,2026-Q1,pendiente,manual
4347d7c2-e496-4155-897b-97b071b8e676,2026-02-12,gasto,Asesoría Fiscal Martínez SLP,ESB12345678,Honorarios gestoría — cierre fiscal 2025 + Modelo 390,AFM-2026-008,200.0,21,42.0,242.0,True,100,42.0,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
cbed6409-e8aa-40ae-bd5c-b16dd81f21bb,2026-02-14,ingreso,TechStartup SL,ESB98765432,Gestión campaña Google Ads + LinkedIn Ads — febrero,FAC-2026-006,1400.0,21,294.0,1694.0,False,0,0.0,,2026-Q1,pendiente,calendly
43440254-8568-482a-ad32-1c806307c5ee,2026-02-17,gasto,Regus España SL,ESB82387770,Alquiler sala reuniones coworking — febrero,RGS-FEB26-0019,90.0,21,18.9,108.9,True,100,18.9,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pagado,manual
3cb6ec5e-fbf4-4f08-ab55-e227dfb91902,2026-02-19,gasto,Endesa Energía SAU,ESA81948077,Factura luz — febrero 2026,END-FEB26-1189,71.2,21,14.95,86.15,True,30,4.49,Art. 30 Ley 35/2006 IRPF,2026-Q1,pendiente,manual
2e663390-4b18-4e82-ac6d-9bbd9fc57ce3,2026-02-20,ingreso,Clínica Dental Pérez SL,ESB66778899,Diseño web + identidad visual corporativa,FAC-2026-007,1250.0,21,262.5,1512.5,False,0,0.0,,2026-Q1,pendiente,scanner
8105c2a5-35d2-49d4-9c24-66c977871215,2026-02-21,gasto,Renfe Operadora,ESQ2801660H,Billete AVE Madrid-Sevilla (presentación cliente),RNF-260221-0334,52.5,10,5.25,57.75,True,100,5.25,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pagado,scanner
8f1f6357-8080-44e3-b8c0-a925f806e1f9,2026-02-22,ingreso,Moda Española SL,ESB11223344,Campaña email marketing San Valentín + reportes,FAC-2026-008,480.0,21,100.8,580.8,False,0,0.0,,2026-Q1,pendiente,manual
c2265a25-175d-4767-a8a1-76f4a989e0ec,2026-02-23,gasto,Google Ireland Ltd,ESB66912912,Google Workspace Business — febrero 2026,GWS-2602-ES-9901,13.99,21,2.94,16.93,True,100,2.94,Art. 28-30 Ley 35/2006 IRPF,2026-Q1,pendiente,gmail
